2023-03-31T12:49:48.271723Z WARNING - _SetConnectionParameters (361) - Cannot cast to local parameters.
2023-03-31T12:49:48.271730Z WARNING - Cannot cast to local parameters.
2023-03-31T12:52:22.709835Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.750168Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.790457Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.830731Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.871099Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.911438Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.951725Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.992019Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.032306Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.073027Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.112941Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.152907Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.193461Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.235482Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.274074Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.314449Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.354726Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.395799Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.435398Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.475674Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.515973Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.556293Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.598169Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.636758Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.677028Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.717470Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.757701Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.801967Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.838354Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.878783Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.918989Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.959292Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:23.999437Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.039831Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.080131Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.120532Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.160841Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.201123Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.241458Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.281492Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.322078Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.362105Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.403133Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.442953Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.483332Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.523506Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.564095Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.604245Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.644550Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.684877Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.725136Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.765456Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.805764Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.845964Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.886278Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.926729Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:24.966805Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.009350Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.047435Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.087956Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.128321Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.168632Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.208703Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.248888Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.289236Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.329566Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.369927Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.410372Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.450336Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.490865Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.531233Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.571428Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.611813Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.651995Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.692423Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.733131Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.773041Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.813276Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.853650Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.893993Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.934269Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:25.974370Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:26.014835Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
